date,CBOE_Total_PCR,CBOE_Index_PCR,CBOE_ETP_PCR,CBOE_Equity_PCR,CBOE_VIX_PCR,CBOE_SPX_PCR
2025-07-28,0.85,1.13,0.85,0.58,0.54,1.19
2025-07-29,0.94,1.26,0.96,0.57,1.1,1.3
2025-07-30,0.9,1.14,1.07,0.59,0.77,1.26
2025-07-31,1.03,1.08,1.31,0.84,0.33,1.26
2025-08-01,0.94,1.0,1.17,0.75,0.43,1.36
2025-08-04,0.9,1.06,1.15,0.61,0.37,1.23
2025-08-05,0.87,1.24,0.78,0.58,0.64,1.3
2025-08-06,0.86,1.04,1.05,0.62,0.55,1.17
2025-08-07,0.79,0.97,0.88,0.57,0.37,1.1
2025-08-08,0.86,1.03,1.2,0.64,0.43,1.17
2025-08-11,0.83,0.98,0.91,0.64,0.28,1.16
2025-08-12,0.95,1.04,1.51,0.6,0.52,1.25
2025-08-13,0.77,0.91,0.82,0.63,0.34,1.06
2025-08-14,0.85,1.03,0.8,0.75,0.26,1.26
2025-08-15,0.79,1.05,1.18,0.48,0.53,1.22
2025-08-18,0.79,1.04,1.02,0.5,0.71,1.15
2025-08-19,0.91,1.19,0.92,0.59,0.89,1.31
2025-08-20,0.88,0.98,1.11,0.66,0.44,1.22
2025-08-21,0.92,1.13,0.99,0.62,1.11,1.14
2025-08-22,0.88,0.99,1.43,0.5,0.44,1.18
2025-08-25,0.86,1.16,0.9,0.55,0.89,1.2
2025-08-26,0.89,1.2,0.88,0.55,0.72,1.29
2025-08-27,0.75,0.85,0.97,0.53,0.29,1.13
2025-08-28,0.89,1.05,0.86,0.75,0.48,1.19
2025-08-29,0.83,0.92,1.14,0.56,0.35,1.18
2025-09-02,0.93,1.04,1.04,0.68,0.53,1.19
2025-09-03,0.87,1.03,0.98,0.61,0.35,1.15
2025-09-04,0.96,1.23,1.03,0.62,1.28,1.24
2025-09-05,0.75,0.8,0.95,0.58,0.2,1.15
2025-09-08,0.8,1.01,0.67,0.63,0.31,1.14
2025-09-09,0.87,1.12,0.98,0.54,0.55,1.27
2025-09-10,0.82,0.99,1.02,0.54,0.35,1.26
2025-09-11,0.86,1.02,0.93,0.68,0.53,1.12
2025-09-12,0.83,1.13,0.92,0.58,0.64,1.29
2025-09-15,0.89,1.27,0.89,0.54,1.11,1.32
2025-09-16,0.78,0.93,0.81,0.54,0.51,1.24
